wavelength (eV);psi;tan(psi);delta;cos(delta)
1.988109607;2.41165736;0.042116237;173.6807231;-0.99392398
1.985613413;2.413463693;0.042147819;173.6229451;-0.993812479
1.983123479;2.40414299;0.041984854;174.3717885;-0.995179231
1.980639782;2.395922823;0.041841133;173.8731657;-0.994288067
1.978162299;2.402281526;0.041952308;174.1005973;-0.994703889
1.975691006;2.411950258;0.042121358;173.6965092;-0.993954268
1.973225879;2.390515399;0.041746591;174.329926;-0.99510731
1.970766897;2.399148106;0.041897524;173.8669086;-0.994276405
1.968314036;2.395218112;0.041828812;173.5826089;-0.993734039
1.965867273;2.405938136;0.042016241;173.886966;-0.994313745
1.963426585;2.403168284;0.041967812;174.5529381;-0.99548433
1.96099195;2.38153543;0.041589589;174.507918;-0.995409434
1.958563346;2.403337137;0.041970765;174.4514788;-0.995314674
1.956140749;2.392881863;0.041787966;173.6348876;-0.993835609
1.953724139;2.41077135;0.042100745;173.9323856;-0.994397849
1.951313492;2.386101654;0.041669422;173.7776028;-0.994108671
1.948908786;2.402762079;0.04196071;173.7798413;-0.994112904
1.94651;2.406803401;0.042031369;173.5932535;-0.993754787
1.944117112;2.37890909;0.041543671;173.5949417;-0.993758074
1.9417301;2.395367584;0.041831425;173.9081385;-0.994353028
1.939348942;2.395754395;0.041838188;174.1200045;-0.994738646
1.936973617;2.385482717;0.041658601;173.8621483;-0.994267525
1.934604104;2.3839449;0.041631715;173.6326131;-0.993831207
1.932240381;2.381014539;0.041580482;173.726873;-0.994012314
1.929882427;2.410822396;0.042101638;173.7851342;-0.994122909
1.927530221;2.380554957;0.041572447;173.8775012;-0.99429614
1.925183742;2.392146266;0.041775105;174.1532912;-0.994797995
1.922842968;2.394131037;0.041809806;173.9409304;-0.994413602
1.92050788;2.376604328;0.041503376;174.2176618;-0.994911813
1.918178457;2.383967159;0.041632104;173.8629276;-0.994268979
1.915854677;2.378280682;0.041532685;173.8871469;-0.994314081
1.913536521;2.389490576;0.041728673;174.1452723;-0.994783728
1.911223968;2.375551829;0.041484975;173.8636149;-0.994270262
1.908916998;2.379593125;0.041555631;173.7999381;-0.994150847
1.906615591;2.374431075;0.041465381;174.392264;-0.995214215
1.904319726;2.380667427;0.041574413;174.4642864;-0.995336263
1.902029383;2.384226314;0.041636635;174.063196;-0.994636583
1.899744543;2.38637271;0.041674162;173.7907722;-0.994133557
1.897465186;2.371478014;0.041413751;174.0136125;-0.994546702
1.895191292;2.369739744;0.041383361;174.5054118;-0.995405247
1.892922842;2.374333004;0.041463666;173.7117227;-0.993983386
1.890659815;2.373362599;0.0414467;174.0623266;-0.994635013
1.888402193;2.380494316;0.041571386;174.3253451;-0.995099407
1.886149957;2.374443575;0.041465599;174.4783974;-0.99535999
1.883903086;2.38804968;0.041703481;174.0132312;-0.994546007
1.881661562;2.391882935;0.041770501;173.4571881;-0.993486992
1.879425365;2.370169655;0.041390877;174.2794418;-0.995019869
1.877194478;2.378154618;0.041530481;173.9026594;-0.994342875
1.87496888;2.366979424;0.041335102;174.0720972;-0.99465264
1.872748553;2.381450489;0.041588104;173.2639433;-0.993097031
1.870533479;2.365450508;0.041308372;174.0426646;-0.994599455
1.868323638;2.371526976;0.041414607;174.4728585;-0.995350684
1.866119013;2.389614123;0.041730833;173.6398796;-0.993845264
1.863919585;2.367949716;0.041352065;174.5581644;-0.995492984
1.861725334;2.37009517;0.041389575;174.7016143;-0.9957273
1.859536245;2.352950866;0.041089841;174.7293542;-0.995771892
1.857352297;2.355246482;0.041129975;173.5891766;-0.993746845
1.855173473;2.375006465;0.04147544;174.3305895;-0.995108454
1.852999755;2.365845381;0.041315275;174.4140013;-0.995251216
1.850831124;2.365765913;0.041313886;174.531389;-0.995448557
1.848667564;2.345831733;0.04096538;174.1667822;-0.994821953
1.846509057;2.385402521;0.041657199;174.0915041;-0.994687564
1.844355584;2.377906247;0.041526138;174.3356435;-0.995117164
1.842207128;2.349638188;0.041031927;173.9520547;-0.994434077
