wavelength (eV);psi;tan(Psi);delta;cos(Delta)
1.316281186;9.868408394;0.173959821;179.3346591;-0.999932577
1.315186526;9.815034897;0.173000243;179.1167361;-0.999881178
1.314093685;9.847624006;0.173586111;179.0436197;-0.999860692
1.313002658;9.823645079;0.17315502;178.9623551;-0.999836013
1.311913442;9.8487179;0.173605778;179.3513241;-0.999935912
1.310826031;9.8269135;0.173213776;179.3670184;-0.999938976
1.309740422;9.837934258;0.173411902;179.3513266;-0.999935913
1.308656609;9.853014695;0.173683033;179.3911994;-0.999943549
1.307574589;9.836478507;0.17338573;179.2674039;-0.999918257
1.306494356;9.860891533;0.17382466;179.4069258;-0.999946428
1.305415906;9.839346809;0.173437297;179.0311271;-0.999857029
1.304339236;9.877627783;0.174125604;179.1218647;-0.999882554
1.30326434;9.869303518;0.173975917;179.2462969;-0.999913479
1.302191214;9.806379705;0.172844664;179.3876047;-0.999942881
1.301119854;9.831928775;0.173303937;179.3343141;-0.999932507
1.300050256;9.852462222;0.173673099;179.012075;-0.999851351
1.298982414;9.885958106;0.174275407;179.2404454;-0.999912131
1.297916326;9.849331567;0.173616812;179.3898138;-0.999943292
1.296851986;9.839771025;0.173444924;179.0442411;-0.999860873
1.29578939;9.855799196;0.173733098;179.1301088;-0.999884749
1.294728534;9.910555689;0.174717788;179.0919978;-0.999874429
1.293669413;9.846167428;0.173559923;179.2748335;-0.999919907
1.292612024;9.850770108;0.173642676;179.3644216;-0.999938474
1.291556362;9.857416906;0.173762185;179.3247957;-0.999930563
1.290502423;9.834828005;0.173356058;178.9463009;-0.999830899
1.289450202;9.794882369;0.17263801;179.0345413;-0.999858035
1.288399696;9.845551326;0.173548846;179.243352;-0.999912802
1.287350901;9.844167581;0.173523968;179.2324215;-0.999910265
1.286303811;9.818474679;0.173062076;178.8503465;-0.9997987
1.285258423;9.798253648;0.172698604;178.9851666;-0.999843143
1.284214734;9.851966171;0.173664181;179.2680946;-0.999918412
1.283172737;9.835773558;0.173373057;179.4481079;-0.999953609
1.282132431;9.814102574;0.172983484;179.143737;-0.999888331
1.28109381;9.816075547;0.173018949;179.1525155;-0.999890609
1.28005687;9.828765752;0.173247074;179.2233146;-0.999908123
1.279021607;9.830017157;0.173269571;179.2597998;-0.999916552
1.277988018;9.841604865;0.173477893;179.1066894;-0.99987846
1.276956098;9.846427097;0.173564591;178.9572311;-0.999834389
1.275925843;9.811561562;0.172937808;179.2022923;-0.999903082
1.274897249;9.818874111;0.173069256;179.3042056;-0.999926264
1.273870312;9.810199824;0.17291333;179.3641814;-0.999938428
1.272845028;9.812163579;0.172948629;179.3216123;-0.999929907
1.271821394;9.814261642;0.172986343;179.1222002;-0.999882643
1.270799404;9.81741086;0.173042952;179.4637241;-0.999956198
